elapsed_ms,cpu_percent,cpu_time_seconds,memory_bytes,disk_read_bytes,disk_write_bytes,network_rx_bytes,network_tx_bytes,process_count,thread_count,gpu_percent,vram_bytes,phase,scenario,target_count,fault_injection
295.924125,,0.033192,2797568,1691648,0,,,1,,,,startup,,,False
401.508875,26.697037214181023,0.06138,16633856,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,3,False
502.281,0.5507475405525089,0.061935,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,3,False
607.473417,1.9003270929690759,0.063934,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,4,False
711.848334,0.6831143156741303,0.064647,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,4,False
817.9905,0.6246339461359879,0.06531,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,4,False
923.588917,0.8513385195916308,0.066209,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,4,False
1034.99375,0.6875823780463841,0.066975,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,4,False
1144.068584,0.9571410395178683,0.068019,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,4,False
1254.456584,0.6594919737652701,0.068747,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,4,False
1363.478375,0.6420734731829825,0.069447,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,4,False
1467.590876,0.8289110257758602,0.07031,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,5,False
1570.204292,2.456793758820006,0.072831,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,5,False
1676.720376,1.552817131354537,0.074485,16502784,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,5,False
1778.210001,0.7695367876273106,0.075266,16490496,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,5,False
1882.000751,0.4316376941105098,0.075714,16490496,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,5,False
1992.715251,0.6774180437070128,0.076464,16490496,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,5,False
2102.638668,2.5408598788372725,0.079257,16490496,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
2209.172501,0.8100712944403331,0.08012,16490496,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
2319.281793,0.566709665157051,0.080744,16490496,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
2429.641709,0.8725994318444439,0.081707,16490496,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
2533.605709,0.7964295332999841,0.082535,16490496,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
2636.443626,0.7176341387778231,0.083273,16490496,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
2738.881709,0.6462440340668967,0.083935,16490496,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
2845.566335,0.9373421808686857,0.084935,16494592,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
2955.68696,0.889933198254195,0.085915,16494592,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
3068.823335,0.6752912138116506,0.086679,16494592,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
3179.72221,1.204701129745446,0.088015,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
3283.60096,0.7691659747542283,0.088814,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
3392.83721,1.149801462426615,0.09007,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
3500.311877,0.6485249216915491,0.090767,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
3615.047668,0.35472802030885425,0.091174,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
3726.547668,0.9381165919282434,0.09222,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
3831.785918,0.7269220079201257,0.092985,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,6,False
3944.622377,0.6398641063346382,0.093707,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
4051.380418,0.8861159226404337,0.094653,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
4156.402543,0.553216762658343,0.095234,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
4259.24371,0.3451925044763389,0.095589,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
4363.631377,0.6974003930943359,0.096317,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
4474.102877,0.6472257550589912,0.097032,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
4578.642335,0.9106609295793445,0.097984,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
4680.421419,0.6681136961303366,0.098664,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
4790.026752,0.6851856378192853,0.099415,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
4900.324836,0.7008281304324343,0.100188,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
5002.519544,0.6379978110021116,0.10084,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
5111.497752,0.46981869990007413,0.101352,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
5214.677836,0.47877456661113815,0.101846,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
5321.210836,0.846686003398008,0.102748,16482304,10149888,0,,,1,,,,delivery,real_full_frame_parking_scene,7,False
5429.485211,0.6806781382944834,0.103485,16281600,10149888,0,,,1,,,,delivery,occlusion_gap_1000ms,1,False
5538.136877,0.478593673842062,0.104005,16281600,10149888,0,,,1,,,,delivery,occlusion_gap_1000ms,0,False
5640.292836,0.3641490948168744,0.104377,16281600,10149888,0,,,1,,,,delivery,occlusion_gap_1000ms,0,False
5744.555003,0.6502838177150088,0.105055,16281600,10149888,0,,,1,,,,delivery,occlusion_gap_1000ms,0,False
